rowID,Name,latitude,longitude,elevation,max_ temp_C,min_temp_C,air_frost_days,shunshine_Hrs,rain_mm
1,Aberdeen Airport,57.206,-2.202,65,12.21,5.37,48.81,1447.26,832.55
2,Campbeltown Airport,55.441,-5.699,10,12.61,6.59,27.4,1441.22,1229.33
3,Carlisle,54.933,-2.963,28,13.21,6.28,42.38,1420.87,918.8
4,Dahlwinnie,56.933,-4.233,351,10.44,3.29,92.31,1090.99,1282.39
5,Edinburgh (Gogarbank), 55.928,-3.343,57,12.8,5.78,48.01,1363.43,784.29
6,Eskdalemuir,55.311,-3.206,242,11.4,4.07,78.05,1151.57,1827.17
7,Glenlee,55.09904,-4.18344,55,13.04,4.72,67.72,1215.09,1780.61
8,Inverbervie,56.852,-2.264,134,11.14,5.52,35.2,1282.94,703.44
9,Inverness,57.4779,-4.2233,13,12.68,5.66,38.35,1249.67,755.02
10,Islay Airport,55.681,-6.256,17,12.42,6.42,26.03,1103.92,1306.47
11,Isle of Sky (Lusa),57.257,-5.8,18,12.18,6.05,32.38,1103.92,2019.49
12,Isle of Sky (Prabost),57.4676,-6.3036,67,11.7,5.66,44.71,1200.34,1769.05
13,Keith,57.5433,-2.95,142,12.01,4.1,78.4,1350.56,888.75
14,Kinbrace,58.233,-3.917,103,11.68,3.58,90.54,1240.09,948.91
15,Kirkwall Airport,58.954,-2.9,26,11.02,5.8,21.77,1210.43,1048.54
16,Leuchars,55.377,-2.862,10,12.71,5.3,55.17,1573.85,712.99
17,Nairn (Kinloss),57.6494,-3.5606,7,12.67,5.42,49.5,1383.55,662.68
18,Paisley,55.837,-4.4388,16,13.19,6.46,32.93,1279.62,1262.83
19,Rothesay,55.8374,-5.0536,4,12.75,6.54,21.77,1332.6,1498.51
20,Stirling,56.117,-3.9409,25,13.26,5.79,41.46,1279.62,1018.12
21,Tain Range,57.819,-3.966,4,12.25,4.76,59.55,1103.92,660.16
22,Tiree,56.497,-6.887,9,11.94,7.12,9.34,1524.15,1275.05
23,West Freugh,54.859,-4.936,11,12.88,6.03,37.87,1564.39,1100.88
24,Wick Airport,58.454,-3.089,36,11.03,5.39,39.34,1303.52,792.7
